Yr,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1948,24131,21190,18606,16338,14346,12598,11062,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1949,24131,21190,18606,16338,14346,12598,11062,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1950,20790,21190,18606,16338,14346,12598,11062,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1951,20587,18256,18606,16338,14346,12598,11062,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1952,20363,18077,16030,16338,14346,12598,11062,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1953,20118,17881,15873,14076,14346,12598,11062,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1954,19852,17666,15701,13938,12360,12598,11062,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1955,19564,17432,15512,13787,12239,10853,11062,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1956,19256,17179,15307,13621,12106,10747,9530,9713,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1957,18929,16908,15085,13441,11961,10630,9437,8368,8529,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1958,18587,16621,14847,13246,11802,10503,9335,8287,7348,7490,6577,5775,5071,4453,3910,3433,3015,2647,2324,2041,1792,1574,1382,1214,1066,7675
1959,18234,16322,14595,13037,11630,10363,9221,8196,7275,6452,6576,5774,5070,4452,3909,3433,3014,2647,2324,2041,1792,1574,1382,1213,1065,7674
1960,17874,16011,14331,12814,11446,10210,9097,8094,7194,6386,5663,5772,5068,4450,3908,3432,3013,2646,2323,2040,1791,1573,1381,1213,1065,7672
1961,17511,15695,14059,12584,11252,10050,8966,7988,7108,6317,5608,4973,5068,4450,3908,3432,3013,2646,2323,2040,1791,1573,1381,1213,1065,7672
1962,17148,15376,13782,12346,11050,9881,8825,7873,7014,6241,5547,4924,4366,4450,3908,3431,3013,2646,2323,2040,1791,1573,1381,1213,1065,7672
1963,16790,15058,13502,12102,10840,9703,8676,7749,6913,6159,5480,4871,4324,3834,3908,3431,3013,2646,2323,2040,1791,1573,1381,1213,1065,7672
1964,16443,14744,13222,11856,10626,9519,8520,7618,6805,6070,5408,4812,4277,3797,3367,3431,3013,2646,2323,2040,1791,1573,1381,1213,1065,7672
1965,16113,14438,12945,11608,10407,9327,8353,7476,6685,5970,5326,4745,4222,3753,3331,2954,3011,2644,2322,2039,1790,1572,1380,1212,1064,7667
1966,15810,14149,12674,11360,10183,9125,8174,7319,6549,5855,5229,4665,4156,3698,3287,2918,2588,2638,2316,2034,1786,1568,1377,1209,1062,7650
1967,15535,13883,12420,11122,9965,8928,7997,7161,6411,5736,5128,4580,4086,3641,3240,2880,2557,2267,2311,2029,1782,1565,1374,1207,1060,7633
1968,15276,13641,12181,10890,9744,8721,7805,6985,6252,5595,5006,4475,3998,3567,3178,2829,2514,2232,1980,2018,1772,1556,1367,1200,1054,7592
1969,15037,13414,11932,10625,9460,8422,7502,6690,5975,5343,4780,4277,3826,3419,3052,2721,2423,2154,1913,1697,1730,1519,1334,1172,1029,7413
1970,14803,13204,11757,10444,9280,8243,7322,6511,5800,5178,4629,4143,3707,3317,2965,2647,2361,2102,1869,1660,1473,1502,1319,1158,1017,7328
1971,14594,12999,11561,10272,9096,8053,7127,6313,5604,4989,4453,3981,3563,3190,2855,2553,2281,2034,1812,1611,1431,1270,1295,1137,999,7195
1972,14440,12815,11385,10106,8955,7904,6975,6158,5447,4833,4302,3840,3434,3075,2754,2465,2205,1970,1758,1566,1393,1237,1097,1119,983,7083
1973,14356,12679,11226,9956,8815,7786,6850,6030,5316,4699,4167,3710,3312,2963,2654,2378,2129,1905,1702,1518,1353,1203,1069,948,967,6970
1974,14421,12606,11006,9663,8464,7385,6431,5600,4899,4308,3805,3377,3009,2691,2411,2163,1940,1739,1557,1392,1242,1107,985,875,776,6498
1975,14717,12663,10918,9437,8165,7028,6029,5185,4482,3909,3434,3035,2697,2408,2157,1937,1740,1562,1402,1256,1123,1003,894,795,707,5875
1976,15390,12923,10968,9362,7974,6779,5738,4861,4150,3576,3116,2739,2425,2159,1931,1733,1558,1401,1259,1130,1013,906,809,721,642,5315
1977,16621,13514,11268,9513,8059,6803,5733,4821,4068,3468,2986,2603,2290,2029,1808,1619,1454,1308,1177,1058,950,851,762,680,607,5009
1978,18757,14595,11744,9718,8114,6783,5652,4717,3944,3320,2827,2436,2126,1873,1661,1482,1329,1194,1075,968,870,782,701,627,560,4623
1979,22403,16470,12574,9977,8089,6591,5382,4406,3640,3029,2547,2171,1874,1640,1448,1288,1152,1034,930,838,755,679,610,547,490,4049
1980,28519,19672,14272,10790,8442,6729,5394,4350,3536,2911,2421,2037,1738,1503,1318,1166,1038,929,835,752,678,611,549,494,443,3673
1981,38343,25043,17085,12294,9182,7074,5552,4395,3515,2845,2338,1944,1637,1399,1212,1064,942,840,752,676,609,549,495,446,400,3338
1982,43744,33669,21734,14699,10441,7672,5816,4504,3535,2814,2273,1868,1555,1311,1123,974,856,759,677,607,546,492,443,400,360,3019
1983,33787,38411,29387,18885,12687,8936,6511,4901,3779,2958,2353,1901,1563,1302,1099,941,817,718,637,569,510,459,413,373,336,2840
1984,26717,29668,33564,25584,16352,10910,7631,5529,4147,3191,2496,1985,1604,1320,1100,929,796,692,608,540,482,432,389,350,316,2691
1985,22885,23460,25987,29344,22305,14206,9445,6588,4764,3569,2745,2147,1708,1381,1136,948,800,686,596,524,465,415,372,335,302,2593
1986,21028,20095,20537,22698,25543,19334,12260,8123,5652,4082,3057,2351,1839,1464,1184,975,813,687,589,512,450,400,357,320,288,2486
1987,20437,18464,17602,17956,19790,22194,16740,10585,7000,4866,3513,2630,2023,1584,1261,1020,840,701,592,508,441,388,345,308,276,2392
1988,20460,17945,16184,15408,15686,17245,19291,14520,9169,6058,4210,3039,2276,1751,1371,1092,883,728,607,513,440,382,336,299,267,2312
1989,20844,17966,15721,14154,13441,13640,14947,16676,12530,7905,5222,3629,2620,1963,1511,1183,942,763,628,524,443,380,330,291,258,2227
1990,21693,18303,15762,13784,12398,11759,11919,13049,14549,10928,6894,4553,3164,2285,1712,1318,1032,822,665,548,457,387,332,288,254,2169
1991,21528,19048,16057,13818,12072,10844,10272,10401,11379,12682,9525,6008,3969,2759,1992,1493,1149,900,717,580,478,399,337,289,251,2113
1992,18765,18904,16709,14072,12090,10534,9430,8900,8983,9806,10915,8193,5167,3414,2373,1714,1285,989,775,617,500,412,344,290,249,2036
1993,19266,16478,16564,14614,12266,10483,9071,8062,7562,7599,8274,9199,6903,4355,2878,2001,1446,1084,835,654,521,422,348,290,245,1929
1994,24585,16917,14447,14504,12765,10674,9077,7814,6914,6464,6484,7054,7841,5884,3713,2454,1707,1234,925,712,558,445,360,297,248,1856
1995,29938,21588,14828,12643,12657,11090,9219,7793,6673,5882,5488,5500,5982,6650,4992,3151,2083,1449,1048,786,605,474,378,306,252,1787
1996,25903,26288,18920,12974,11029,10988,9569,7904,6643,5667,4984,4645,4653,5062,5629,4227,2669,1765,1228,888,666,513,402,320,259,1729
1997,29326,22745,23045,16562,11328,9590,9504,8230,6765,5667,4824,4239,3950,3958,4306,4791,3598,2272,1503,1046,756,567,437,342,273,1694
1998,30442,25751,19926,20148,14426,9810,8242,8104,6970,5701,4762,4049,3557,3315,3323,3617,4025,3024,1910,1264,880,636,477,367,288,1654
1999,31002,26731,22553,17412,17533,12473,8411,7005,6835,5847,4768,3978,3381,2970,2769,2777,3024,3366,2530,1598,1057,736,532,399,308,1626
2000,34806,27222,23427,19733,15188,15221,10761,7209,5970,5802,4952,4034,3364,2860,2513,2344,2351,2561,2852,2143,1354,896,624,451,338,1638
2001,29528,30563,23844,20474,17176,13137,13059,9154,6087,5015,4859,4141,3373,2813,2392,2103,1962,1969,2145,2389,1796,1135,751,523,378,1657
2002,27651,25929,26764,20831,17810,14841,11252,11083,7707,5096,4185,4049,3450,2810,2345,1995,1755,1638,1644,1791,1995,1500,948,627,437,1700
2003,33946,24280,22700,23371,18103,15363,12678,9514,9288,6418,4229,3467,3353,2857,2328,1944,1655,1456,1359,1365,1487,1657,1246,787,521,1775
2004,40145,29808,21257,19822,20312,15618,13128,10725,7979,7742,5331,3507,2874,2780,2370,1933,1614,1375,1210,1130,1134,1236,1377,1036,655,1909
2005,38739,35251,26094,18558,17221,17512,13333,11091,8980,6639,6418,4412,2901,2378,2302,1963,1602,1338,1140,1004,937,941,1026,1143,859,2127
2006,43871,34017,30863,22786,16127,14850,14948,11258,9277,7461,5494,5302,3643,2396,1965,1903,1624,1325,1108,944,831,776,779,850,947,2474
2007,33910,38523,29791,26967,19826,13939,12724,12692,9484,7771,6230,4581,4419,3037,1998,1639,1588,1356,1107,925,788,694,649,651,710,2859
2008,40736,29776,33711,26000,23432,17124,11956,10844,10762,8015,6556,5252,3862,3727,2563,1687,1385,1342,1146,936,782,667,587,548,551,3018
2009,38444,35770,26070,29447,22623,20275,14719,10211,9213,9111,6773,5536,4435,3262,3149,2166,1427,1171,1135,970,792,662,564,497,464,3021
2010,33611,33758,31305,22756,25595,19549,17405,12557,8669,7797,7699,5719,4675,3747,2757,2663,1833,1207,992,961,821,671,561,478,421,2952
2011,28816,29514,29564,27359,19820,22188,16855,14929,10727,7387,6635,6547,4864,3977,3188,2347,2268,1561,1029,845,819,700,572,478,407,2876
2012,28478,25303,25843,25827,23806,17145,19056,14373,12655,9056,6222,5583,5509,4094,3349,2686,1978,1912,1316,868,713,691,590,482,403,2770
2013,23564,25006,22159,22580,22479,20600,14730,16254,12185,10685,7628,5236,4697,4636,3446,2820,2263,1667,1612,1110,732,601,583,498,407,2676
2014,20385,20691,21895,19355,19640,19428,17664,12530,13733,10247,8961,6391,4385,3935,3885,2890,2366,1899,1399,1353,932,614,505,489,418,2590
2015,16767,17900,18127,19143,16860,17012,16704,15070,10618,11583,8619,7528,5367,3683,3307,3266,2430,1990,1598,1178,1139,784,517,425,412,2532
2016,18716,14723,15688,15859,16692,14622,14646,14268,12782,8962,9747,7243,6324,4509,3095,2780,2747,2044,1674,1344,991,958,660,435,358,2478
2017,20531,16434,12903,13724,13825,14468,12575,12489,12075,10760,7519,8166,6066,5296,3777,2594,2331,2303,1715,1405,1128,832,804,554,365,2380
2018,17972,18028,14398,11281,11952,11964,12415,10692,10535,10128,8994,6275,6812,5061,4421,3154,2167,1947,1925,1433,1174,943,695,673,463,2296
2019,24113,15781,15788,12580,9815,10330,10252,10542,9009,8827,8458,7501,5232,5680,4222,3690,2634,1810,1627,1609,1198,982,788,581,562,2307
2020,40606,21174,13822,13799,10957,8507,8903,8786,8995,7665,7498,7180,6367,4442,4825,3587,3136,2239,1539,1384,1368,1019,835,671,495,2441
2021,28582,35656,18551,12088,12030,9508,7340,7637,7502,7655,6511,6364,6094,5405,3772,4099,3048,2666,1904,1309,1177,1164,867,710,570,2497
2022,34565,25097,31221,16207,10520,10412,8176,6271,6491,6354,6472,5500,5376,5149,4569,3190,3467,2580,2256,1612,1108,996,985,734,601,2598
2023,23812,30351,21965,27246,14069,9059,8873,6892,5237,5385,5251,5339,4536,4434,4250,3773,2636,2866,2133,1866,1333,917,824,815,607,2647
2024,24131,20909,26590,19204,23733,12184,7785,7565,5834,4412,4523,4405,4478,3804,3721,3567,3168,2214,2408,1792,1568,1120,771,693,685,2736
2025,24131,21190,18284,23168,16621,20326,10293,6482,6219,4754,3576,3658,3560,3620,3078,3012,2890,2568,1795,1953,1454,1272,909,625,562,2777
2026,24131,21190,18530,15931,20052,14235,17171,8569,5329,5068,3854,2892,2957,2879,2929,2492,2440,2342,2082,1456,1585,1180,1033,738,508,2710
2027,24131,21190,18530,16145,13789,17174,12025,14296,7045,4342,4108,3117,2337,2390,2329,2371,2019,1978,1899,1689,1181,1286,958,838,599,2612
2028,24131,21190,18530,16145,13974,11809,14508,10012,11753,5741,3520,3322,2519,1890,1934,1885,1921,1636,1604,1541,1370,959,1043,777,680,2606
